id,bedrooms,bathrooms
1662521167821890682,3,3.0
38458462,3,2.0
1138076289355351323,3,3.0
1413793482058721505,3,2.0
1454518561688224646,3,2.5
1496950722323360486,1,1.0
1587750863099568632,3,2.0
1374555678493358475,3,3.0
1345522196864629056,3,2.5
1632225813707712266,3,2.0
1129848332561686701,3,2.0
1659643298831693196,3,3.0
1659643317367255238,4,4.0
1600268056611420634,5,4.0
49979686,1,
845639695364470565,2,
1606917400160173488,1,
1413006465989652470,1,
1271857125569231940,1,
49334756,4,2.5
1666965692032806389,1,
1621521076497911019,1,1.0
1342848180743802893,,
886363181657712851,2,2.0
1255931472512598656,,
1137611076084427359,,
1607068601195968361,1,
1510946334207098001,2,1.5
1577017238839515917,4,2.0
1344481029603175946,1,
1532716727302887158,3,3.0
1655636845963348486,3,2.0
1261411894109733851,3,3.0
1455828119076096630,2,2.5
1341442037542248822,1,
1613745481492925949,6,4.0
1341592470123058612,4,4.0
1297286425888271788,3,4.0
1526967919053000596,3,4.0
1472300897833613641,3,3.0
1095575554885410147,0 (studio),1.0
1458848227395188519,7,4.0
1501642132078410539,6,4.0
1367468270071699707,4,4.0
1146878447597361543,2,2.0
1663748515666655189,2,1.0
1581148825850549926,4,3.0
1020803619969682230,1,1.5
33508561,1,1.0
1595788412298887199,1,1.5
1207204588129617036,4,3.5
876635382065447441,,
1583489179587965875,3,2.5
1661497961861192417,5,4.0
1041437962161590692,1,
678463884188978038,11,14.0
909443120158965056,6,8.5
1260406464173905881,2,2.0
1494286145132247576,2,1.0
1636821038111464463,3,2.5
1642185607955946849,,
879696915671476563,1,1.0
1527612080432866929,4,4.0
1423428647185198888,1,1.5
671740578859926360,0 (studio),6.0
986907258138126927,1,1.0
1557142729767028410,3,3.0
1437055324321650406,5,3.0
1595121737419913669,5,4.0
1476993545170771266,2,2.0
1499293182649581825,3,2.0
1006410596383133743,3,2.5
1072337923226213591,,
1597258314567751350,4,3.0
1534883263996779213,1,
1655016228235060394,4,5.0
1653708979868910510,3,2.0
1610455786796415638,4,5.0
1178779410424644003,,
1514011890775926531,4,4.0
1529090491737849100,4,4.0
1583439639189402167,,
1652916755572425157,3,2.0
1595812603308547251,1,1.5
1651521621832902360,4,4.0
1393384400047766758,0 (studio),
1513869666670194975,3,3.0
1652916784505927846,4,4.0
1106469536719280077,5,3.0
1034066309855148751,4,3.0
1507754142013484123,3,2.5
1399344813755631190,2,1.0
1595475888836283799,4,4.5
786193899036913679,4,6.0
1408209251622006928,3,2.0
1632510659058548225,1,1.0
1119687151889965711,2,2.0
1253545695819460306,2,3.0
1573732500396807254,5,4.5
592650663225067850,8,8.0
1279650622193070800,6,3.0
17972891,10,8.0
1613730531380064342,4,5.0
1666188011871297878,4,3.0
1531634398802978649,3,3.5
1666136954553586919,4,4.0
1064665966642916279,3,3.0
1500917056962963042,4,3.0
1661874947899447427,4,2.0
1656526091746623839,1,
1663295629348774645,1,1.0
1637113727785255420,1,1.0
944289552529814347,,
961364838492802520,5,6.0
1167161726460951446,2,
1632019923097329747,1,
1469678894161141620,5,4.5
29854607,1,
1378469979839176479,2,2.0
1478869669208403893,1,
1641369221959279124,1,
1329506163784844723,2,2.0
1350450973267126868,,
1576850812351825345,1,1.0
1163701058562109900,3,3.5
1215941349675907711,2,
1220930702541846125,3,3.0
1403606080161247497,4,4.0
1315801713689780955,4,4.0
1480646450617477448,4,4.0
1323860882741101013,4,3.0
1466699451877402499,4,2.5
1643650867952734023,4,4.0
941888127713027739,3,3.0
1435985873285857965,3,3.0
1282813496258794021,3,3.0
1627527284131671963,1,1.0
1220930456797488088,3,3.0
1358711619694097719,2,1.0
1619584519082184951,1,
1317513487384131728,3,3.0
1423704714730870977,1,
1645887423715260401,1,
1580688361640043940,1,1.0
1537829300662642384,1,1.0
1662421474268972305,1,
1234099258874611632,,
955852733507615918,4,3.5
1479955235095353141,,
1619598649522538346,1,
1549295539119074270,0 (studio),1.0
1339119577796319126,1,1.0
1386330303107981587,,
1580349257265283806,1,
1607609360722380702,1,1.0
1418219838841951223,1,
1515188567541894624,5,6.0
1301878261087078138,3,2.0
1587673795269549833,,
1271161556698093399,4,2.5
1362065411862874941,1,
1384838980381903311,2,2.0
1248463369195901970,2,1.5
1258108930337494246,3,4.0
1189274043045705699,1,1.0
1226816502936573532,4,2.5
1276820596035227872,3,2.0
1345073020953746913,1,
1269102985156090905,3,2.0
1335056471617196547,2,2.0
1587773464772357981,3,3.0
1346959550840986881,2,2.0
1340742025047017035,,
31276486,2,2.0
1148418351253761740,2,1.5
1601421873858041598,3,2.0
1667949693380063827,1,1.0
17868503,2,
1230302876047378386,3,3.0
1393691702395692639,2,2.5
1610456653097966909,,
992199868370320371,3,3.0
1495091463270840616,1,1.5
